========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1199
Deadline misses: 0 (0.00%)
Execution time:
  Mean: 212.513 us
  Min: 150.736 us
  Max: 2161.440 us
Jitter:
  Mean: 1844.129 us
  Max: 5505.200 us
Response time:
  Mean: 2056.642 us
  Min: 1458.256 us
  Max: 5736.768 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 410328   2504  28432    0    0     0     0   19   19  0  0 100  0  0 1970-01-01 00:02:43
 0  0      0 410328   2504  28432    0    0     0     0   22   27  0  0 100  0  0 1970-01-01 00:02:44
 0  0      0 410328   2504  28432    0    0     0     0   15   17  0  0 100  0  0 1970-01-01 00:02:45
 0  0      0 410328   2504  28432    0    0     0     0   15   21  0  0 100  0  0 1970-01-01 00:02:46
 0  0      0 410328   2512  28432    0    0     0    12   36   34  0  1 99  1  0 1970-01-01 00:02:47
 0  0      0 410328   2512  28432    0    0     0     0   23   28  0  1 100  0  0 1970-01-01 00:02:49
 0  0      0 410328   2512  28432    0    0     0     0   19   23  0  0 100  0  0 1970-01-01 00:02:50
 0  0      0 410328   2512  28432    0    0     0     0   18   19  0  0 100  0  0 1970-01-01 00:02:51
 0  0      0 410328   2512  28432    0    0     0     0   25   24  0  0 100  0  0 1970-01-01 00:02:52
 0  0      0 410328   2512  28432    0    0     0     0   24   27  0  1 100  0  0 1970-01-01 00:02:53
 1  0      0 410204   2520  28432    0    0     0    12   46   44  0  2 97  1  0 1970-01-01 00:02:54
 0  0      0 410204   2520  28432    0    0     0     0   37   41  0  1 99  0  0 1970-01-01 00:02:55
 0  0      0 410204   2520  28432    0    0     0     0   32   39  1  1 99  0  0 1970-01-01 00:02:56
 1  0      0 410204   2520  28432    0    0     0     0   32   37  0  1 99  0  0 1970-01-01 00:02:57
===VMSTAT_END===
